section_id,norm_multi_family_score,norm_single_family_score,norm_score,urban_parcel_classification,norm_optimal_housing_type,num_housing_units,municipality_name,district_name,comarca,lat,lon,cluster_sc,cluster_description,household_income_sc,multi_family_rental_ppm2_sc,multi_family_purchase_ppm2_percentile_sc,single_family_rental_ppm2_sc,single_family_purchase_ppm2_percentile_sc,office_analysis,office_rental_ppm2
820502008,40.27457807406683,44.51214086141515,44.51214086141515,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47197139,2.071200422,0,03 Premium Urban Areas,135829.0,13.8,4062.421622,12.4,5031.577235772358,Other,0.0
820502009,46.29166856984707,47.33139075296405,47.33139075296405,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.47215447,2.075650338,0,03 Premium Urban Areas,132976.0,13.7,4012.248649,9.6,3657.756097560976,Other,0.0
820502010,38.29962839050498,34.3440834712508,38.29962839050498,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.4760254,2.071810927,0,03 Premium Urban Areas,125763.0,14.1,4214.756757,11.8,4741.105691056911,Other,0.0
820502011,47.90639550056828,52.67217452406018,52.67217452406018,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.45602649,2.081888348,0,03 Premium Urban Areas,143364.0,13.1,3717.567568,12.3,4984.000000000001,Other,0.0
820502012,41.01275592329181,43.87749868602912,43.87749868602912,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46779129,2.072949342,0,03 Premium Urban Areas,128256.0,14.1,4214.756757,13.8,5678.195121951219,Other,0.0
820503001,36.50432274462016,39.48759794524454,39.48759794524454,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46250789,2.027032807,1,07 Peripheral Areas,117164.0,13.166666666666666,3776.1405406666654,13.1,5367.804878048781,Other,0.0
820503002,47.25557508278968,48.19366114583219,48.19366114583219,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46004257,2.056446152,1,07 Peripheral Areas,140644.0,12.233333333333334,3337.5243243333334,11.0,4353.943089430895,Other,0.0
820503003,25.207243223308826,45.81649184175024,45.81649184175024,Other,Multi-Family,1235.0,Sant Cugat del Vallès,"Sant Bartomeu de la Quadra, La Rierada",Baix Llobregat,41.44894246,2.025628016,1,07 Peripheral Areas,137551.0,8.55,1851.216216,10.9,4301.955284552846,Other,0.0
820503004,39.7931328164086,44.03791448651433,44.03791448651433,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.45494847,2.064722239,1,07 Peripheral Areas,118996.0,11.3,2898.908108,11.5,4594.39024390244,Other,0.0
820504001,31.09110868437885,31.2689157369447,31.2689157369447,Other,Multi-Family,102.0,Sant Cugat del Vallès,"Sant Bartomeu de la Quadra, La Rierada",Valles Occidental,41.43681654,2.068736705,1,07 Peripheral Areas,76613.0,12.5,3433.783784,9.2,3432.048780487805,Other,0.0
820504002,28.81144685496272,26.997309568583457,28.81144685496272,Other,Multi-Family,104.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.44995853,2.077663846,1,07 Peripheral Areas,82092.0,12.833333333333334,3593.4594596666666,10.0,3881.30081300813,Other,0.0
820504003,29.068574511267357,32.31677839011858,32.31677839011858,Other,Multi-Family,171.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.4432728,2.082945769,1,07 Peripheral Areas,75760.0,13.166666666666666,3753.135135333333,10.3,4027.048780487805,Other,0.0
820505001,48.05932638002671,50.51486777581107,50.51486777581107,Other,,0.0,Sant Cugat del Vallès,Sant Cugat del Vallès,Valles Occidental,41.46576156,2.066118061,0,03 Premium Urban Areas,143364.0,13.5,3912.810811,12.7,5178.605691056911,Other,0.0
